600,400
497,317
332,276
473,374
352,323
380,194
445,367
519,387
452,370
526,358
520,260
248,335
328,383
242,410
346,280
468,325
436,269
370,189
406,347
456,332
484,300
499,376
414,418
347,307
453,329
293,351
303,339
305,255
368,390
396,211
404,235
340,420
436,217
409,275
325,346
492,362
433,279
431,272
379,319
444,248
457,378
299,188
246,231
266,226
421,315
410,207
461,278
490,216
434,224
478,330
537,259
465,404
488,386
481,371
296,320
490,390
241,316
488,270
494,320
319,258
548,343
409,359
267,377
505,258
263,246
275,202
450,214
403,212
277,292
297,400
495,207
473,207
460,241
270,375
289,201
419,311
314,395
554,331
320,409
317,205
270,320
419,219
245,288
530,221
321,415
515,201
328,206
489,211
531,285
245,361
492,291
508,282
502,415
361,375
544,330
469,266
273,218
492,221
334,286
383,296
